5089 	5923 	14015 	604 	27
5090 	5930 	14562 	601 	28
5091 	5937 	14874 	623 	28
5092 	5944 	14904 	586 	29
5093 	5953 	14019 	595 	27
5094 	5960 	14557 	597 	28
5095 	5967 	15876 	692 	29
5096 	5974 	15289 	594 	29
5097 	5983 	14311 	590 	28
5098 	5990 	14712 	607 	28
5099 	5941 	17000 	694 	31
5099 	5993 	18592 	736 	33
5099 	6289 	7436 	476 	16
5100 	5953 	43748 	600 	81
5101 	5965 	10414 	523 	21
5101 	5994 	25839 	625 	49
5102 	6009 	20607 	605 	39
5103 	6024 	16762 	618 	32
5120 	6160 	13587 	564 	27
5121 	6168 	13743 	570 	27
5122 	6175 	14685 	573 	29
5123 	6183 	14425 	587 	28
5124 	6191 	14590 	603 	28
5125 	6198 	14579 	584 	28
5126 	6206 	14423 	581 	28
5127 	6214 	15087 	609 	29
5128 	6222 	15123 	591 	29
5129 	6229 	15176 	600 	29
5130 	6237 	14879 	592 	29
5131 	6245 	14510 	587 	28
5132 	6253 	14131 	577 	28
5133 	6258 	17167 	657 	32
5134 	6267 	15470 	584 	30
5135 	6276 	13695 	571 	27
5135 	6750 	20454 	627 	38
5136 	6285 	14091 	553 	28
5136 	6728 	24405 	637 	45
5137 	6292 	14251 	592 	28
5137 	6711 	23835 	650 	43
5138 	6299 	14066 	564 	28
5138 	6693 	25356 	646 	46
5139 	6307 	14073 	564 	28
5139 	6670 	23579 	622 	44
5140 	6315 	14378 	588 	28
5140 	6654 	23336 	673 	42
5141 	6322 	14600 	562 	29
5141 	6633 	31261 	697 	57
5142 	6330 	14320 	566 	28
5142 	6614 	24592 	695 	43
5143 	6338 	14586 	567 	29
5143 	6595 	22058 	632 	41
5144 	6345 	14750 	586 	29
5144 	6404 	9109 	507 	19
5144 	6525 	24006 	594 	46
5144 	6575 	22687 	780 	40
5145 	6354 	14929 	580 	29
5145 	6538 	37693 	843 	64
5146 	6362 	14582 	585 	28
5146 	6530 	39803 	899 	65
5147 	6369 	14811 	580 	29
5147 	6515 	51922 	823 	88
5148 	6377 	14396 	575 	28
5148 	6494 	24937 	649 	45
5148 	6543 	32246 	595 	61
5149 	6385 	14340 	574 	28
5149 	6472 	25471 	655 	46
5149 	6540 	11512 	571 	23
5150 	6392 	17869 	614 	34
5150 	6451 	25654 	638 	47
5150 	6536 	12018 	573 	24
5151 	6398 	17279 	660 	32
5151 	6435 	25603 	721 	45
5151 	6533 	10799 	547 	22
5152 	6407 	31746 	655 	58
5152 	6528 	12912 	570 	26
5153 	6399 	24452 	621 	45
5153 	6520 	15877 	624 	31
5154 	6377 	23496 	665 	42
5154 	6424 	14717 	579 	29
5154 	6514 	12281 	555 	25
5155 	6358 	21488 	623 	40
5155 	6422 	21005 	614 	39
5155 	6499 	17320 	578 	34
5156 	6334 	28025 	699 	50
5156 	6440 	15165 	575 	30
5156 	6498 	21327 	711 	39
5157 	6313 	22243 	624 	41
5157 	6448 	14189 	565 	28
5157 	6506 	15385 	572 	30
5158 	6295 	20662 	682 	38
5158 	6456 	14186 	568 	28
5159 	6287 	14028 	637 	27
5159 	6464 	14244 	570 	28
5160 	6289 	7806 	471 	17
5160 	6472 	14808 	576 	29
5161 	6480 	13792 	557 	28
5162 	6488 	14570 	569 	29
5163 	6496 	14680 	575 	29
5164 	6503 	14431 	565 	29
5165 	6512 	14534 	566 	29
5166 	6518 	14970 	570 	30
5167 	6527 	15076 	571 	30
5168 	6534 	15160 	579 	30
5169 	6543 	14089 	566 	28
5170 	6551 	14339 	586 	28
5170 	6590 	12968 	553 	26
5171 	6559 	25352 	564 	51
5172 	6567 	22226 	571 	44
5173 	6574 	24609 	569 	48
5174 	6582 	25210 	584 	49
5175 	6590 	22863 	573 	45
5176 	6598 	20413 	568 	40
5177 	6606 	18204 	590 	35
5178 	6613 	17603 	652 	33
5179 	6620 	15981 	600 	31
5180 	6629 	15148 	576 	30
5181 	6638 	16859 	566 	33
5182 	6647 	13968 	557 	28
5183 	6657 	11415 	530 	23
5184 	6663 	11974 	536 	24
5185 	6668 	13072 	554 	26
5186 	6675 	13192 	547 	26
5187 	6683 	13083 	545 	26
5188 	6689 	13496 	543 	27
5189 	6697 	12904 	539 	26
5190 	6289 	7326 	471 	16
5190 	6704 	12895 	533 	26
5191 	6289 	7366 	473 	16
5191 	6711 	13023 	545 	26
5192 	6289 	7351 	473 	16
5192 	6719 	12942 	537 	26
5193 	6289 	7697 	464 	17
5193 	6725 	14179 	587 	28
5194 	6731 	14440 	535 	29
5195 	6289 	7326 	471 	16
5195 	6741 	12974 	540 	26
5196 	6289 	7914 	477 	17
5196 	6747 	14146 	549 	28
5197 	6289 	7213 	464 	16
5197 	6755 	13382 	541 	27
5198 	6764 	13668 	549 	27
5199 	6289 	7347 	473 	16
5199 	6770 	13966 	542 	28
5216 	6288 	8353 	479 	18
5216 	6895 	15841 	626 	30
5217 	6288 	8665 	470 	19
5217 	6905 	12962 	531 	26
5218 	6288 	8417 	482 	18
5218 	6913 	12669 	542 	25
5219 	6288 	8424 	483 	18
5219 	6920 	13158 	543 	26
5220 	6288 	8393 	480 	18
5220 	6927 	16062 	565 	31
5221 	6288 	8361 	477 	18
5221 	6931 	18976 	721 	34
5222 	6288 	8803 	478 	19
5222 	6940 	14221 	548 	28
5223 	6288 	8913 	484 	19
5223 	6948 	14504 	567 	28
5224 	6288 	8827 	479 	19
5224 	6942 	20337 	569 	40
5225 	4761 	9702 	513 	20
5225 	6288 	8290 	474 	18
5225 	6963 	13085 	542 	26
5226 	6288 	8627 	470 	19
5226 	6970 	13294 	531 	27
5227 	6288 	8725 	472 	19
5227 	6978 	13514 	535 	27
5228 	6288 	8800 	478 	19
5228 	6985 	13628 	544 	27
5229 	6288 	8337 	477 	18
5229 	6992 	13698 	553 	27
5230 	6288 	8443 	482 	18
5230 	6999 	13858 	556 	27
5231 	6288 	8323 	477 	18
5231 	7007 	13064 	539 	26
5245 	7112 	10419 	513 	21
5245 	7147 	11988 	546 	24
5247 	7125 	20044 	549 	39
5248 	6289 	7782 	470 	17
5248 	7130 	17276 	559 	34
5249 	6288 	8327 	475 	18
5249 	7137 	14966 	589 	29
5250 	7143 	15818 	559 	31
5251 	6289 	7539 	484 	16
5251 	7151 	15551 	569 	30
5252 	6289 	7321 	470 	16
5252 	6908 	10748 	523 	22
5252 	7156 	16590 	590 	32
5253 	7158 	18682 	579 	36
5254 	6289 	7401 	477 	16
5254 	7173 	14170 	545 	28
5255 	6289 	7850 	475 	17
5255 	7180 	14139 	553 	28
5256 	7188 	12788 	531 	26
5257 	7194 	13919 	534 	28
5258 	7202 	13055 	540 	26
5259 	7209 	12931 	537 	26
5260 	7215 	13941 	544 	28
5261 	7222 	13371 	541 	27
5262 	7230 	13267 	531 	27
5263 	7237 	13588 	546 	27
5264 	7241 	24209 	566 	48
5265 	7251 	17698 	537 	35
